title,abstract,url,publication_year,authors,institutions
Technology convergence capability and firm innovation in the manufacturing sector: an approach based on patent network analysis,"As a consequence of the convergence between manufacturing technology and the foundation technologies of Industry 4.0, it is becoming more important for firms to formulate an innovation strategy for their technological capabilities. In this context, the present study measures firm‐level technology convergence (TC) capability using patent network analysis. A firm’s TC capabilities are measured using three centrality indices pertaining to a patent network, which is constructed based on the relationship between patents and their international patent classification. For the empirical analysis, panel regression is conducted to observe the effect of TC capabilities on innovation for the top 30 firms in four manufacturing industries. We find that the TC degree positively influences the firms’ overall innovation, namely their total number of patents, and negatively influences their convergent innovation, calculated as the ratio between the number of TC patents and the total number of patents, while the effect of TC betweenness is the opposite. These findings imply that while concentrating on similar technologies may promote quick technology application, it could hamper the enhancement of a TC’s potential. To promote TC, a firm should thus develop technologies more likely to be involved in TC.",https://openalex.org/W2901355640,2018,Keungoui Kim; Sungdo Jung; Junseok Hwang,Seoul National University; Korea Engineering Consultants Corporation
Hybrid-patent classification based on patent-network analysis,"Effective patent management is essential for organizations to maintain their competitive advantage. The classification of patents is a critical part of patent management and industrial analysis. This study proposes a hybrid-patent-classification approach that combines a novel patent-network-based classification method with three conventional classification methods to analyze query patents and predict their classes. The novel patent network contains various types of nodes that represent different features extracted from patent documents. The nodes are connected based on the relationship metrics derived from the patent metadata. The proposed classification method predicts a query patent's class by analyzing all reachable nodes in the patent network and calculating their relevance to the query patent. It then classifies the query patent with a modified k-nearest neighbor classifier. To further improve the approach, we combine it with content-based, citation-based, and metadata-based classification methods to develop a hybrid-classification approach. We evaluate the performance of the hybrid approach on a test dataset of patent documents obtained from the U.S. Patent and Trademark Office, and compare its performance with that of the three conventional methods. The results demonstrate that the proposed patent-network-based approach yields more accurate class predictions than the patent network-based approach.",https://openalex.org/W2078368867,2010,Duen‐Ren Liu; Meng-Jung Shih,National Yang Ming Chiao Tung University
Patent Network Analysis and Quadratic Assignment Procedures to Identify the Convergence of Robot Technologies,"Because of the remarkable developments in robotics in recent years, technological convergence has been active in this area. We focused on finding patterns of convergence within robot technology using network analysis of patents in both the USPTO and KIPO. To identify the variables that affect convergence, we used quadratic assignment procedures (QAP). From our analysis, we observed the patent network ecology related to convergence and found technologies that have great potential to converge with other robotics technologies. The results of our study are expected to contribute to setting up convergence based R&amp;D policies for robotics, which can lead new innovation.",https://openalex.org/W2529703283,2016,Woojin Lee; Won Kyung Lee; So Young Sohn,Yonsei University
Exploring landscapes of quantum technology with Patent Network Analysis,"While the new chapter of quantum technologies is bringing transformative changes to our society, a quantum ecosystem, which synergises the supportive activities from both social and scientific & technological sides, is acknowledged as a critical force to push the movements. Despite the importance of a quantum ecosystem, current articles barely illustrated its interconnected relations, essential elements and the long-term attributes of developing technologies. We apply the innovation ecosystem and social-technical system theories to bridge such research gaps by realising the patent network analysis. The analytical contents include focal actors, main technological clusters and technological trajectory, and most of them correspond to relevant reports. Particularly, quantum computation is an eye-catching subfield due to its high and intensive knowledge engagements in the past years. Last, we conclude the analytical results and provide two discussions in the discussion & conclusion section as the main contributions. One is to illustrate the long-term attributes and backgrounds of the analytical contents through the lens of the multi-level perspective framework. The other illustrates a path toward a focal actor.",https://openalex.org/W3165404661,2021,Syuan-Yi Jiang; Shin-Liang Chen,Technische Universität Berlin; Freie Universität Berlin; National Cheng Kung University
Multiple patent network analysis for identifying safety technology convergence,"Purpose Using the large database of patent, the purpose of this paper is to structure a technology convergence network using various patent network analysis for integrating different results according to network characteristics. Design/methodology/approach The patent co-class analysis and the patent citation analysis are applied to discover core safety fields and technology, respectively. In specific, three types of network analysis, which are centrality analysis, association rule mining analysis and brokerage network analysis, are applied to measure the individual, synergy and group intensity. Findings The core safety fields derived from three types of network analysis used by different nature of data algorithms are compared with each other to understand distinctive meaning of cores of patent class such as medical safety, working safety and vehicle safety, differentiating network structure. Also, to be specific, the authors find the detailed technology contained in the core patent class using patent citation network analysis. Practical implications The results provide meaningful implications to various stakeholders in organization: safety management, safety engineering and safety policy. The multiple patent network enables safety manager to identify core safety convergence fields and safety engineers to develop new safety technology. Also, in the view of technology convergence, the strategy of safety policy can be expanded to collaboration and open innovation. Originality/value This is the initial study on applying various network analysis algorithms based on patent data (class and citation) for safety management. Through comparison among network analysis techniques, the different results are identified and the collective decision making on finding core of safety technology convergence is supported. The decision maker can obtain the various perspectives of tracing technology convergence.",https://openalex.org/W2950244483,2019,Jeonghwan Jeon; Yongyoon Suh,Gyeongsang National University; Pukyong National University
Patent Classification Using Ontology-Based Patent Network Analysis,"Patent management is increasingly important for organizations to sustain their competitive advantage. The classification of patents is essential for patent management and industrial analysis. In this study, we propose a novel patent network-based classification method to analyze query patents and predict their classes. The proposed patent network, which contains various types of nodes that represent different features extracted from patent documents, is constructed based on the relationship metrics derived from patent metadata. The novel approach analyzes reachable nodes in the patent ontology network to calculate their relevance to query patents, after which it uses the modified k-nearest neighbor classifier to classify query patents. We evaluate the performance of the proposed approach on a test dataset of patent documents obtained from the United States Patent and Trademark Office (USPTO), and compare it with the performance of the three conventional methods. The results demonstrate that the proposed patent network-based approach outperforms the conventional approaches.",https://openalex.org/W93327894,2010,Meng Jung Shih; Duen‐Ren Liu,National Yang Ming Chiao Tung University
Constructing an Intelligent Patent Network Analysis Method,"Patent network analysis, an advanced method of patent analysis, is a useful tool for technology management. This method visually displays all the relationships among the patents and enables the analysts to intuitively comprehend the overview of a set of patents in the field of the technology being studied. Although patent network analysis possesses relative advantages different from traditional methods of patent analysis, it is subject to several crucial limitations. To overcome the drawbacks of the current method, this study proposes a novel patent analysis method, called the intelligent patent network analysis method, to make a visual network with great precision. Based on artificial intelligence techniques, the proposed method provides an automated procedure for searching patent documents, extracting patent keywords, and determining the weight of each patent keyword in order to generate a sophisticated visualization of the patent network. This study proposes a detailed procedure for generating an intelligent patent network that is helpful for improving the efficiency and quality of patent analysis. Furthermore, patents in the field of Carbon Nanotube Backlight Unit (CNT-BLU) were analyzed to verify the utility of the proposed method.",https://openalex.org/W2029646946,2012,Chao-Chan Wu; Ching-Bang Yao,Feng Chia University; Chinese Culture University; National Taiwan University of Science and Technology
Patent network analysis in agriculture: a case study of the development and protection of biotechnologies,"Plant biotechnology has consolidated itself as a radical agricultural innovation, boosting the patenting activities of universities, biotechnology firms, and seed &amp; agrochemicals corporations. We use patent citations networks to study the appropriability efforts that affected the emergence and dynamics of the technological trajectories (TTs) of the genetically modified organisms. Our methodological contribution consists of combining new procedures to identify TTs with the study of the characteristics of scale-free networks. This paper also proposes legal enforcement indicators that attempt to assess the economic importance of patents that make up citation networks. We identify two TTs that include patents on biotech traits and enabling technologies. These patents were both effective in collecting royalties from farmers and deterring potential entrants, particularly through intellectual property (IP) litigation. The results also show that these litigated patents have impacted merger and acquisition activity in seed industry. We conclude that IP lawsuits may have contributed to delaying the R&amp;D investments of new entrants, thus preserving the monopolistic position enjoyed by the pioneering company and restricting the scope of crop innovations.",https://openalex.org/W2985283847,2019,Vinícius Eduardo Ferrari; José Maria Ferreira Jardim da Silveira; Maria Ester Soares Dal Poz,Pontifícia Universidade Católica de Campinas; Pontifícia Universidade Católica de São Paulo; Universidade Estadual de Campinas (UNICAMP)
PATENT NETWORK ANALYSIS OF CLOUD COMPUTING BY TEXT MINING,"With the rise of cloud computing technology, many IT manufacturers have rushed to enter the market. However, to date, only a few attempts have been made at the patent analysis of cloud computing. The main contribution of this research is to propose a two-stage retrieval strategy and a systematic method for conducting patent network analysis on cloud computing. By conducting bibliometric and network analyses, we show that a two-stage patent retrieval method can successfully identify patents belonging to cloud computing. The effectiveness of the proposed systematic method for patent network analysis is proved through gray relational-based cluster analysis. With the aid of visual networks and technology centrality indexes, this study seeks to reveal the overall patent structure and identify the key technologies of cloud computing. The results of this study can provide a valuable reference for enterprises intending to enter the cloud computing industry.",https://openalex.org/W2522353537,2016,Jia‐Yen Huang,
The spatiotemporal evolution of global innovation networks and the changing position of China: a social network analysis based on cooperative patents,"This study uses global patent cooperation data from 1999 to 2020, employs social network analysis, and explores the changes in and driving forces of global innovation networks (GINs) in the past 20 years as well as the change in China's position in the global innovation system. The results show that on the whole, the network accessibility of GINs has continuously improved, showing scale‐free network characteristics. The important nodes in the network are mainly developed countries such as Europe and the United States, and the node polarization effect has weakened; the network has four agglomeration subgroups. The phenomenon of subgroups and factions is not obvious. Further factor identification shows that economic factors and technological information factors have the strongest correlation with the innovation network and that demographic factors have a weaker correlation with the innovation network. In addition, China's position in the innovation network has been increasing year by year, and the role of ‘transit stations’ has become increasingly prominent.",https://openalex.org/W4388991080,2023,Feng Hu; Liping Qiu; Shaobin Wei,North Minzu University; Zhejiang Gongshang University; Ningbo University
Technology Fusion Characteristics in the Solar Photovoltaic Industry of South Korea: A Patent Network Analysis Using IPC Co-Occurrence,"This study analyzes the technology fusion phenomena and its characteristics, focusing on the solar photovoltaic (PV) industry in South Korea. Co-occurrence networks of international patent classification (IPC) codes have been analyzed based on the photovoltaic patents in South Korea during a 15-year period (2002–2016). The results reveal that, while the strength of technology fusion has greatly increased during the period, the structural pattern of fusion has been diversified or decentralized. In the early stage, widespread emergence of new technologies has been observed but, in the later stage, the focus of fusion shifted to the utilization of existing technologies. The characteristics of key technologies also changed as the technology fusion progressed. In the early stage, product technologies such as materials and components played a central role, while operation technologies such as monitor, structure, and arrangement were the drivers of fusion during the later stage.",https://openalex.org/W3096502709,2020,Sungho Son; Nam-Wook Cho,Korea Electrotechnology Research Institute; Seoul National University; Seoul National University of Science and Technology
A methodology to position nations’ efforts in a technology domain with a patent network analysis: case of the electric vehicle domain,"When a nation is making strategies in a technology domain, it makes sense to know where the nation is currently in the domain and to know where other nations are as well. This paper presents a method to position nations’ efforts in a technology domain. The method builds a network of International Patent Classifications (IPCs) based on their co-occurrence in patent applications and applies an index called the Revealed Patent Application Advantage (RPAA), which reflects where nations’ efforts have been spent in a technology domain denoted as the IPC network. We applied the proposed method to position the efforts that have been spent in the electric vehicle (EV) technology domain by mainland China, Germany, Japan, and the United States.",https://openalex.org/W2791502704,2018,Feng Shen; Tieju Ma,East China University of Science and Technology; International Institute for Applied Systems Analysis
Localization of Knowledge and the Mobility of Engineers in Regional Networks,"Knowledge, once generated, spills only imperfectly among firms and nations. We posit that since institutions and labor networks vary by region, there should be regional variations in the localization of spillovers. We investigate the relationship between the mobility of major patent holders and the localization of technological knowledge through the analysis of patent citations of important semiconductor innovations. We find that knowledge localization is specific to only certain regions (particularly Silicon Valley) and that the degree of localization varies across regions. By analyzing data on the interfirm mobility of patent holders, we empirically show that the interfirm mobility of engineers influences the local transfer of knowledge. The flow of knowledge is embedded in regional labor networks.",https://openalex.org/W2143585157,1999,Paul Almeida; Bruce Kogut,Georgetown University; University of Pennsylvania
Percutaneous closure of patent foramen ovale in patients with cryptogenic embolism: a network meta-analysis,The effectiveness of PFO closure depends on the device used. PFO closure with AMP appears superior to medical therapy in preventing strokes in patients with cryptogenic embolism.,https://openalex.org/W2097261246,2014,Stefan Stortecky; Bruno R. da Costa; Heinrich P. Mattle,University Hospital of Bern; Institute of Social and Preventive Medicine; University of Bern
Patent Network Analysis for Identifying Technological Evolution: A Case Study of China's Artificial Intelligence Technologies,"Identifying technological evolution is a crucial way to assist in technology management. Since modern technology has become more and more complex and dynamic, general statistical techniques can hardly capture the underlying information of technological interconnection in the process of technology evolution. However, complex network analysis can be considered to be a powerful tool to investigate this issue. At the same time, patent documents containing rich information to indicate technological evolution in sequential time period can be a significant data source. This paper, based on the core terms derived from patent documents, constructs technological networks, to present the distribution of technologies. The comparison between the networks in sequential time periods can not only provide a way to understand technological evolution in detail, but also forecast technology opportunities, which can be used to help understand the development of selected technologies quickly and provide insights to research and development (R&D) plan and technological commercialization. A case study on exploring the evolution of China's artificial intelligence technologies is conducted to demonstrate the feasibility of this method.",https://openalex.org/W2773897728,2017,Lu Huang; Miao Wen; Yi Zhang,Beijing Institute of Technology; Centre for Quantum Computation and Communication Technology
Patented Network Analysis on Cloud Computing Technology in Internet of Things,"Internet of Things (IOT) is considered as the world's third wave of the information industry after the inventions of computer and Internet. Cloud computing is among the key technologies in the scope of IOT. In this paper, we choose related patents of cloud computing technology between 1963-2014 from the Derwent Innovations Index database. We extract research technology-related patents of cloud computing, comprehensive utilization of patented metrology research methods and analysis of complex networks. Results show that China has a small number of R&D personnel, and there is no breakdown of the unique and leading technology, while the U.S. Companies have relatively strong R&D capabilities. It indicates us to reduce the gap between China and the U.S. In the development of cloud computing technology. China should promote the development and application of the core technology of cloud computing as soon as possible.",https://openalex.org/W1986488795,2014,Yu Yuan; Li Ma; Junsheng Zhang,Beijing Institute of Technology; Institute of Scientific and Technical Information of China
Data-Driven Platform Design: Patent Data and Function Network Analysis,"A properly designed product-system platform seeks to reduce the cost and lead time for design and development of the product-system family. A key goal is to achieve a tradeoff between economy of scope from product variety and economy of scale from platform sharing. Traditionally, product platform planning uses heuristic and manual approaches and relies almost solely on expertise and intuition. In this paper, we propose a data-driven method to draw the boundary of a platform-system, complementing the other platform design approaches and assisting designers in the architecting process. The method generates a network of functions through relationships of their co-occurrences in prior designs of a product or systems domain and uses a network analysis algorithm to identify an optimal core–periphery structure. Functions identified in the network core co-occur cohesively and frequently with one another in prior designs, and thus, are suggested for inclusion in the potential platform to be shared across a variety of product-systems with peripheral functions. We apply the method to identify the platform functions for the application domain of spherical rolling robots (SRRs), based on patent data.",https://openalex.org/W2903504742,2018,Binyang Song; Jianxi Luo; Kristin L. Wood,Singapore University of Technology and Design
The unbalanced dynamics in Sino-South Korea scientific and technological collaboration: a triple helix perspective with insights from paper and patent network analysis,"This study attempts to explore Sino-South Korea collaborations in science and technology, focusing on the networks of university–industry–government (UIG) relations embedded in co-authored papers and co-assigned patents at the institutional and global levels. Patents and scientific publications are examined over the period 2004–2014 to capture recent trends and patterns of collaborative innovation activities among UIG actors in China and South Korea. The analysis has been carried out from a triple helix perspective, investigating the structure and dynamics of the Sino-Korea scientific and technological collaborations. The result reveals an imbalance between science and technology in knowledge dynamics and the different extent and intensity of collaborative efforts of the two countries. Based on comparative analysis of co-authorship and co-inventorship networks, the scale and density of scientific collaboration networks appear much higher than those of the technological counterpart. In fact, the technological collaboration between China and Korea is not common in patents and its network needs to be further strengthened. Implications for both China and Korea of future collaborative relationships are discussed.",https://openalex.org/W2599487334,2017,JungWon Yoon; Han Woo Park,Soongsil University; Yeungnam University
Absorptive capacities and external openness in underdeveloped innovation systems: a patent network analysis for Latin American countries 1970–2017,"Abstract This paper contributes to the literature on innovation and development by analysing the absorptive and connectivity capacities of Latin American innovation systems between 1970 and 2017. Applying network analysis to a USPTO database containing Latin American inventors, we build and analyse collaboration networks in the process of invention and knowledge appropriation. The structural properties and the evolution of such networks allow us to measure critical attributes of the Latin American innovation systems. Specifically, the networks exhibit low absorptive capacity and high external openness, which are critical linkages with external nodes in the network growth process. We identify different trajectories of innovation systems within the region, analysing specific paths of capability (de)accumulation and network maturity against the backdrop of national development trajectories.",https://openalex.org/W4386839643,2023,Carlos Bianchi; Pablo Galaso; Sergio Palomeque,Universidad de Montevideo; Universidad de la República de Uruguay
Topic modelling and social network analysis of publications and patents in humanoid robot technology,This article presents analysis of data from scientific articles and patents to identify the evolving trends and underlying topics in research on humanoid robots. We used topic modelling based on latent Dirichlet allocation analysis to identify underlying topics in sub-areas in the field. We also used social network analysis to measure the centrality indices of publication keywords to detect important and influential sub-areas and used co-occurrence analysis of keywords to visualise relationships among subfields. The research result is useful to identify evolving topics and areas of current focus in the field of humanoid technology. The results contribute to identify valuable research patterns from publications and to increase understanding of the hidden knowledge themes that are revealed by patents.,https://openalex.org/W2995917056,2019,Richa Kumari; Jae Yun Jeong; Byeong-Hee Lee,Korea University of Science and Technology; Science and Technology Policy Institute; Korea Institute of Science & Technology Information
Angiographic Patency of Coronary Artery Bypass Conduits: A Network Meta‐Analysis of Randomized Trials,"Background Several randomized trials have compared the patency of coronary artery bypass conduits. All of the published studies, however, have performed pairwise comparisons and a comprehensive evaluation of the patency rates of all conduits has yet to be published. We set out to investigate the angiographic patency rates of all conduits used in coronary bypass surgery by performing a network meta‐analysis of the current available randomized evidence. Methods and Results A systematic literature search was conducted for randomized controlled trials comparing the angiographic patency rate of the conventionally harvested saphenous vein, the no‐touch saphenous vein, the radial artery (RA), the right internal thoracic artery, or the gastroepiploic artery. The primary outcome was graft occlusion. A total of 4160 studies were retrieved of which 14 were included with 3651 grafts analyzed. The weighted mean angiographic follow‐up was 5.1 years. Compared with the conventionally harvested saphenous vein, both the RA (incidence rate ratio [IRR] 0.54; 95% CI, 0.35–0.82) and the no‐touch saphenous vein (IRR 0.55; 95% CI, 0.39–0.78) were associated with lower graft occlusion. The RA ranked as the best conduit (rank score for RA 0.87 versus 0.85 for no‐touch saphenous vein, 0.23 for right internal thoracic artery, 0.29 for gastroepiploic artery, and 0.25 for the conventionally harvested saphenous vein). Conclusions Compared with the conventionally harvested saphenous vein, only the RA and no‐touch saphenous vein grafts are associated with significantly lower graft occlusion rates. The RA ranks as the best conduit. Registration URL: https://www.crd.york.ac.uk/prospero ; Unique identifier: CRD42020164492.",https://openalex.org/W3135820989,2021,Mario Gaudino; Irbaz Hameed; N. Bryce Robinson,Cornell University; Weill Cornell Medicine
Text and Dynamic Network Analysis for Measuring Technological Convergence: A Case Study on Defense Patent Data,"Identifying technology convergence is getting harder, especially in fast-evolving and cross-technological fields. On the other side, natural language processing and network analysis researchers is to provide a novel method for mapping technologies and their relations over time, in order to identify dynamic patterns of convergence and to test it on the C4ISTAR field, a defense-related cross-technological field. The methodology automatically extracts technologies from a corpus of scientific papers, policy documents, websites, and company reports using Named Entity Recognition approaches. These technologies are then retrieved from the second corpus of more than 300 thousand patents related to the C4ISTAR domain, measuring their cooccurrences over time. Finally, using the time-varying network analysis, we were able to identify and measure the pattern of technological convergence.",https://openalex.org/W3172560091,2021,Vito Giordano; Filippo Chiarello; Nicola Melluso,University of Pisa
Patent citation network analysis: A perspective from descriptive statistics and ERGMs,"Patent Citation Analysis has been gaining considerable traction over the past few decades. In this paper, we collect extensive information on patents and citations and provide a perspective of citation network analysis of patents from a statistical viewpoint. We identify and analyze the most cited patents, the most innovative and the highly cited companies along with the structural properties of the network by providing in-depth descriptive analysis. Furthermore, we employ Exponential Random Graph Models (ERGMs) to analyze the citation networks. ERGMs enables understanding the social perspectives of a patent citation network which has not been studied earlier. We demonstrate that social properties such as homophily (the inclination to cite patents from the same country or in the same language) and transitivity (the inclination to cite references’ references) together with the technicalities of the patents ( e.g., language, categories), has a significant effect on citations. We also provide an in-depth analysis of citations for sectors in patents and how it is affected by the size of the same. Overall, our paper delves into European patents with the aim of providing new insights and serves as an account for fitting ERGMs on large networks and analyzing them. ERGMs help us model network mechanisms directly, instead of acting as a proxy for unspecified dependence and relationships among the observations.",https://openalex.org/W3109146160,2020,Manajit Chakraborty; Maksym Byshkin; Fábio Crestani,Università della Svizzera italiana
Investigating the Structure of the Internet of Things Patent Network Using Social Network Analysis,"The Internet of Things (IoT) makes the world around us more intelligent and more responsive by developing cyber–physical systems. The IoT is about to change how we live and how we work. It is essential to have a perspective on this technology's innovation path to creating more novel applications. Due to increasing Internet connectivity through smartphones, IoT is expected to be an all-pervasive technology, and lately, its patents have grown significantly. Patents contain valuable information, especially including the path of utilizing IoT in different fields. Patent analysis provides valuable information about innovation in IoT technology. This article performs a patent analysis based on the international patent classification (IPC) co-occurrence network in different patents. This network is analyzed by social network analysis (SNA) algorithms. In addition, the most critical nodes are identified by SNA measures and the TOPSIS method. The findings illustrate the structure of the innovation path of IoT, and they will help create more applications and combinations of IoT with other fields. These results provide a guideline that shows how steps for innovation should start.",https://openalex.org/W4207054403,2022,Seyed Hessam Hoseinizade Mazlumi; Mehrdad Agha Mohammadali Kermani,Iran University of Science and Technology
Exploring Technology Influencers from Patent Data Using Association Rule Mining and Social Network Analysis,"A patent is an important document issued by the government to protect inventions or product design. Inventions consist of mechanical structures, production processes, quality improvements of products, and so on. Generally, goods or appliances in everyday life are a result of an invention or product design that has been published in patent documents. A new invention contributes to the standard of living, improves productivity and quality, reduces production costs for industry, or delivers products with higher added value. Patent documents are considered to be excellent sources of knowledge in a particular field of technology, leading to inventions. Technology trend forecasting from patent documents depends on the subjective experience of experts. However, accumulated patent documents consist of a huge amount of text data, making it more difficult for those experts to gain knowledge precisely and promptly. Therefore, technology trend forecasting using objective methods is more feasible. There are many statistical methods applied to patent analysis, for example, technology overview, investment volume, and the technology life cycle. There are also data mining methods by which patent documents can be classified, such as by technical characteristics, to support business decision-making. The main contribution of this study is to apply data mining methods and social network analysis to gain knowledge in emerging technologies and find informative technology trends from patent data. We experimented with our techniques on data retrieved from the European Patent Office (EPO) website. The technique includes K-means clustering, text mining, and association rule mining methods. The patent data analyzed include the International Patent Classification (IPC) code and patent titles. Association rule mining was applied to find associative relationships among patent data, then combined with social network analysis (SNA) to further analyze technology trends. SNA provided metric measurements to explore the most influential technology as well as visualize data in various network layouts. The results showed emerging technology clusters, their meaningful patterns, and a network structure, and suggested information for the development of technologies and inventions.",https://openalex.org/W3036393285,2020,Pranomkorn Ampornphan; Sutep Tongngam,National Institute of Development Administration
"Patent foramen ovale closure, antiplatelet therapy or anticoagulation in patients with patent foramen ovale and cryptogenic stroke: a systematic review and network meta-analysis incorporating complementary external evidence","Objective To examine the relative impact of three management options in patients aged &lt;60 years with cryptogenic stroke and a patent foramen ovale (PFO): PFO closure plus antiplatelet therapy, antiplatelet therapy alone and anticoagulation alone. Design Systematic review and network meta-analysis (NMA) supported by complementary external evidence. Data sources Medline, EMBASE and Cochrane CENTRAL. Study selection Randomised controlled trials (RCTs) addressing PFO closure and/or medical therapies in patients with PFO and cryptogenic stroke. Review methods We conducted an NMA complemented with external evidence and rated certainty of evidence using the Grading of Recommendations Assessment, Development and Evaluation (GRADE) system. Results Ten RCTs in eight studies proved eligible (n=4416). Seven RCTs (n=3913) addressed PFO closure versus medical therapy. Of these, three (n=1257) addressed PFO closure versus antiplatelet therapy, three (n=2303) addressed PFO closure versus mixed antiplatelet and anticoagulation therapies and one (n=353) addressed PFO closure versus anticoagulation. The remaining three RCTs (n=503) addressed anticoagulant versus antiplatelet therapy. PFO closure versus antiplatelet therapy probably results in substantial reduction in ischaemic stroke recurrence (risk difference per 1000 patients over 5 years (RD): −87, 95% credible interval (CrI) −100 to −33; moderate certainty). Compared with anticoagulation, PFO closure may confer little or no difference in ischaemic stroke recurrence (low certainty) but probably has a lower risk of major bleeding (RD −20, 95% CrI −27 to −2, moderate certainty). Relative to either medical therapy, PFO closure probably increases the risk of persistent atrial fibrillation (RD 18, 95% CI +5 to +56, moderate certainty) and device-related adverse events (RD +36, 95% CI +23 to +50, high certainty). Anticoagulation, compared with antiplatelet therapy, may reduce the risk of ischaemic stroke recurrence (RD −71, 95% CrI −100 to +17, low certainty), but probably increases the risk of major bleeding (RD +12, 95% CrI −5 to +65, moderate certainty). Conclusions In patients aged &lt;60 years, PFO closure probably confers an important reduction in ischaemic stroke recurrence compared with antiplatelet therapy alone but may make no difference compared with anticoagulation. PFO closure incurs a risk of persistent atrial fibrillation and device-related adverse events. Compared with alternatives, anticoagulation probably increases major bleeding. PROSPERO registration number CRD42017081567.",https://openalex.org/W2884351230,2018,Hassan Mir; Reed Siemieniuk; Long Ge,Impact; McMaster University; University of Toronto
